id,粵語,詞彙類別,粵語拼音,聲調,標準漢語1,標準漢語2,備註
3287,手甲,人體,sau gaap,手2甲8,手指甲,指甲,
3288,手甲冥,人體,sau gaap meng,手2甲8冥4,指甲縫,,
3289,手襪,服飾,sau maat,手2襪6,手套,,手套的舊稱
3290,手筆,文化、娛樂,sau bat,手2筆7,(不是粵方言詞),,"(手筆一詞在普通話詞義範圍更廣--1.親手做的文章,寫的字,畫的畫2.文字技巧的造詣3.辦事,用錢的氣派)。"
3291,手腳唔好,其他,sau goek m` hou,手2腳8唔4好2,(沒有對應詞彙),,"手腳不乾淨,愛偷東西"
3292,手作仔,稱謂,sau zok zai,手2作8仔2,手藝人,,
3293,守夜,動詞,sau je,守2夜3*2,(沒有對應詞彙),,舊時指夜間守候死者
3294,守門口,動詞,sau mun hau,守2門4口2,看門兒,看家,
3295,守生寡,動詞,sau saan gwaa,守2生1寡2,守活寡,,
3296,首尾,其他,sau mei,首2尾5,內情,頭緒,
3297,瘦蜢蜢,形容詞,sau maang maang,瘦3蜢5*2(5*1)蜢5*2(5*1),(不是粵方言詞),,人瘦得像蚱蜢/形容動物的肉瘦
3298,瘦骨仙,稱謂,sau gwat sin,瘦3骨7仙1,(不是粵方言詞),,喻極瘦的人
3299,瘦削,形容詞,sau soek,瘦3削8,(不是粵方言詞),,
3300,受,動詞,sau,受6,忍受,遭受,詞義與普通話相同
3301,受茶禮,動詞,sau caa lai,受6茶4禮5,受聘禮,,
3302,受唔起,動詞,sau m` hei,受6唔4起2,不該消受,消受不了,"受唔起(客套話),不該消受"
3303,受唔得,動詞,sau m` dak,受6唔4得7,忍受不了,吃不消,
3304,受難,動詞,sau naan,受6難6,(不是粵方言詞),,非粵方言詞
3305,受人二分四,動詞,sau jan ji fan sei,受6人4二6分1四3,(沒有對應詞彙),,自稱給人家當伙計
3306,受,動詞,sau gwan,受63,受愚弄,受騙,
3307,受軟唔受硬,動詞,sau yun m` sau ngaang,受6軟5唔4受6硬6,吃軟不吃硬,,
3308,受納,動詞,sau naap,受6納9,接受,,
3309,受黑錢,動詞,sau hak cin,受6黑7錢4*2,受賄,,
3310,壽靴,服飾,sau hoe,壽6靴1,(沒有對應詞彙),,死者入殮時穿的鞋
3311,壽衣,服飾,sau ji,壽6衣1,(沒有對應詞彙),,死者入殮時穿的衣服
3312,壽仔,稱謂,sau zai,壽6仔2,笨拙的男子,不機伶的人,
3313,壽包,飲食,sau baau,壽6包1,(沒有對應詞彙),,做壽酒席上的包子
3314,壽頭壽腦,形容詞,sau tau sau nou,壽6頭4壽6腦5,傻頭傻腦,,
3315,壽桃,飲食,sau tou,壽6桃4,(沒有對應詞彙),,
3316,壽飯,飲食,sau faan,壽6飯6,(沒有對應詞彙),,
3317,壽公,稱謂,sau gung,壽6錢4,(沒有對應詞彙),,
3318,壽星公,稱謂,sau sing gung,壽6星1公1,老壽星,長壽的人,
3319,壽幛,服飾,sau zoeng,壽6幛3,(沒有對應詞彙),,做壽時客人送的綢
3320,壽,人體,sau mak,壽69,老人臉上的壽斑,,
3321,鳩朘,人體,gau zoe,鳩1朘1,小男孩的生殖器,,
3322,鳩,人體,gau,鳩1,(罵人話)男陰,,
3323,鳩屎,形容詞,gau si,鳩1屎2,(罵人話)好爭第一,,
3324,九大簋,飲食,gau daai gwai,九2大6簋2,(沒有對應詞彙),,舊式筵席的一種。
3325,九因歌,文化、娛樂,gau jan go,九2因1歌1,九九歌,小九九,
3326,九成九,其他,gau s@ing gau,九2成4九2,可能性很大,多半,
3327,九宮格,文化、娛樂,gau gung gaak,九2宮1格8*2,(不是粵方言詞),,一種小學生習字本。非粵方言詞。
3328,狗,動物,gau,狗2,(不是粵方言詞),,家畜之一。非粵方言詞。
3329,狗牙,動物,gau ngaa,狗2牙4*2,狗牙形的,邊緣不平整,
3330,狗屎當乾薑,其他,gau si dong gon goeng,狗2屎2當3乾1薑1,敝帚自珍,,
3331,狗牯,動物,gau gu,狗2牯2,小公狗,,
3332,狗仔,動物,gau zai,狗2仔2,小狗兒,,
3333,狗仔帽,服飾,gau zai mou,狗2仔2帽4*2,(沒有對應詞彙),,小孩子戴的一種帽子
3334,狗爪芋,植物、糧菜、果品,gau zaau wu,狗2爪2芋6,(沒有對應詞彙),,一種芋頭
3335,狗竇,其他,gau dau,狗2竇3,狗窩,,
3336,狗毛氈,其他,gau mou zin,狗2毛4氈1,(沒有對應詞彙),,用狗毛織成的老人戴的帽子
3337,狗毛蟲,動物,gau mou cung,狗2毛4蟲4,毛毛蟲,,
3338,狗女,動物,gau neoi,狗2女5*1,(沒有對應詞彙),,未長成的小母狗
3339,狗頸,動物,gau geng,狗2頸2,(沒有對應詞彙),,大樁近地面二三寸處
3340,狗蝨,動物,gau sat,狗2蝨7,跳蚤,,
3341,枸杞,植物、糧菜、果品,gau gei,枸2杞2,指枸杞的葉子,,
3342,夠派,形容詞,gau paai,夠3派3*1,有派,有派頭,"指服飾舉止有派頭。同""""派""""。"
3343,夠來,動詞,gau loi,夠3來4*2,是對手,夠個兒(俗),"普通話有此詞,惟詞義不同"
3344,夠威,動詞,gau wai,夠3威1,挺神氣,有威風,
3345,夠味,動詞,gau mei,夠3味6,夠鹹,,
3346,夠口福,動詞,gau hau fuk,夠3口2福7,有口福,,
3347,夠有凸,動詞,gau jau dat,夠3有5凸9,(不是粵方言詞),,
3348,夠數,動詞,gau sou,夠3數3,(不是粵方言詞),,
3349,夠水頭,動詞,gau seoi tau,夠3水2頭4,很有錢,,
3350,夠膽,動詞,gau daam,夠3膽2,有膽量,,
3351,夠本,動詞,gau bun,夠3本2,收支相抵,,
3352,夠行頭,動詞,gau hong tau,夠3行4頭4,(沒有對應詞彙),,"處事熟悉門道,行事有章法"
3353,夠勁,動詞,gau ging,夠3勁6,(不是粵方言詞),,
3354,夠秤,動詞,gau cing,夠3秤3,(不是粵方言詞),,
3355,夠鐘,時間、節令,gau zung,夠3鐘1,到預定時候,到點,
3356,夠傑,動詞,gau git,夠3傑9,(沒有對應詞彙),,事情亂糟糟難以收拾
3357,夠腳,其他,gau goek,夠3腳8,(不是粵方言詞),,
3358,救火車,商業、交通,gau fo ce,救3火2車1,(不是粵方言詞),,
3359,救命圈,其他,gau meng hyun,救3命6圈1,救生圈,,"「救命圈」,水上救護用具"
3360,舊,形容詞,gau,舊6,過去的,過時的,
3361,舊時,時間、節令,gau si,舊6時4(4*2),從前,以前,
3362,舊底,時間、節令,gau dai,舊6底2,從前,舊時,
3363,舊招牌,商業、交通,gau ziu paai,舊6招1牌4,老字號,老招牌,
3364,舊年,時間、節令,gau nin,舊6年4*2,去年,,
3365,舊日,時間、節令,gau jat,舊6日9,以前,從前,
3366,勼,動詞,kau,勼1,混合,攙雜,
3367,勼亂,動詞,kau lyun,勼1亂6,攙雜,混合,
3368,溝渠,房屋,kau keoi,溝1渠4,水溝,,
3369,溝渠鴨,其他,kau keoi aap,溝1渠4鴨8,歇後語,,
3370,求其,形容詞,kau kei,求4其4,湊合著,對付著,
3371,球衣,服飾,kau ji,球4衣1,運動衣,,打球時穿的運動衣
3372,球鞋,服飾,kau haai,球4鞋4,(不是粵方言詞),,打球時穿的運動鞋
3373,球票,商業、交通,kau piu,球4票3,球賽門票,,普通話口語
3374,球場,文化、娛樂,kau coeng,球4場4,(不是粵方言詞),,
3375,球拍,文化、娛樂,kau paak,球4拍8*2,(不是粵方言詞),,網球拍或羽毛球拍
3376,舅爺,稱謂,kau je,舅5爺4,(沒有對應詞彙),,對妻子的哥哥的尊稱
3377,舅爺仔,稱謂,kau je zai,舅5爺4仔2,稱新娘的弟弟,,
3378,舅婆,稱謂,kau po,舅5婆4,(沒有對應詞彙),,父親或母親的舅母
3379,舅父,稱謂,kau fu,舅5父6*2,舅舅,,"「舅父」,母親的兄弟"
3380,舅奶奶,稱謂,kau naai naai,舅5奶4奶2,丈夫的舅母,,
3381,舅舅,稱謂,kau kau,舅5*2舅5*2,舅父,,
3382,舅母,稱謂,kau mou,舅5母5,(沒有對應詞彙),,母親之兄或弟的妻子
3383,舅老爺,稱謂,kau lou je,舅5老5爺4,丈夫的舅父,,
3384,舅少,稱謂,kau siu,舅5少3,(沒有對應詞彙),,對妻子的弟弟的尊稱
3385,叩頭,動詞,kau tau,叩3頭4,(不是粵方言詞),,非粵方言詞
3386,扣起,動詞,kau hei,扣3起2,扣,扣除,"扣(錢,工資)"
3387,扣頭,動詞,kau tau,扣3頭4,回扣,,
3388,扣酒,動詞,kau zau,扣3酒2,(沒有對應詞彙),,"喝酒不咽下,偷偷吐掉"
3389,扣針,工具、材料,kau zam,扣3針1,別針,(裝飾用的)花別針,
3390,扣佣,動詞,kau jung,扣3佣6*2,拿回扣,,
3391,釦,動物,kau,釦3,蝦蟆的胃,,
3392,勾,動詞,ngau,勾1,招引,引,
3393,勾三擸四,動詞,ngau saam laap sei,勾1三1擸8四3,(沒有對應詞彙),,"勾勾搭搭,亂搞男女關係"
3394,,家具、日常用品,ngau,1,子,,
3395,,動詞,ngau,勾1,探取,,
3396,骨,其他,ngau wat,1骨7,一種縫紉法,,
3397,牛扒,飲食,ngau paa,牛4扒4*2,牛排,,菜肴名。
3398,牛孖筋,飲食,ngau maa gan,牛4孖1筋1,牛蹄筋,,
3399,牛仔,動物,ngau zai,牛4仔2,小牛,牛犢子,
3400,牛仔褲,服飾,ngau zai fu,牛4仔2褲3,(沒有對應詞彙),,勞動布或牛仔布做的褲子
3401,牛仔布,服飾,ngau zai bou,牛4仔2布3,(沒有對應詞彙),,做牛仔服用的一種厚布
3402,牛皮膠,工具、材料,ngau pei gaau,牛4皮4膠1,(沒有對應詞彙),,
3403,牛頭褲,服飾,ng tau fu,牛4頭4褲3,中式短褲,短褲,
3404,牛柳,飲食,ngau lau,牛4柳5,牛外脊,牛裏脊,牛脊骨邊的肉
3405,牛高馬大,形容詞,ngau gou maa daai,牛4高1馬5大6,五大三粗,身材高大,1.人的個子粗壯2.喻人已長成
3406,牛腩,飲食,ngau naam,牛4腩5,牛腰部的囊肉,,
3407,牛心柿,飲食,ngau sam ci,牛4心1柿2,(沒有對應詞彙),,一種柿子
3408,牛板筋,飲食,ngau baan gan,牛4板2筋1,牛筋,,牛的白色片狀筋
3409,牛腱,飲食,ngau zin,牛4腱2,牛腱子,,
3410,牛蠅,動物,ngau jing,牛4蠅4,牛虻,,
3411,牛膀,飲食,ngau bong,牛4膀2,牛胰臟,,
3412,牛公,動物,ngau gung,牛4公1,公牛,,
3413,牛雜,飲食,ngau zaap,牛4雜9,牛雜碎,,
3414,牛笠,其他,ngau lap,牛4笠7,牛嘴罩,,
3415,牛一,時間、節令,ngau jat,牛4一7,指生日,,
3416,牛百葉,飲食,ngau baak jip,牛4百8葉9,生的蜂巢胃,,牛的四胃之一
3417,牛白腩,飲食,ngau baak naam,牛4白9腩5,白腩,,1.牛腹部的鬆軟的肉。2.生腹部的肉
3418,牛樴,工具、材料,ngau dak,牛4樴6,拴牛的木橛子,,
3419,藕,植物、糧菜、果品,ngau,藕5,蓮花的地下莖,,
3420,吽,形容詞,ngau,吽6,愚笨,頭腦不靈敏,
3421,,動詞,hau,1,看上,想要,
3422,機會,動詞,hau gei wui,1機1會6,等候時機,,
3423,路,動詞,hau lou,1路6*2,找破綻,,
3424,喉,人體,hau,喉4,嗓子,,
3425,喉底,其他,hau dai,喉4底2,鄉音,口音,
3426,喉嘴,商業、交通,hau zeoi,喉4嘴2,氣門心,氣門,"1)「喉嘴」,自行車上零件2)(自行車輪胎上的)氣門"
3427,喉腩,人體,hau naam,喉4腩5,胃口,,
3428,喉欖,人體,hau laam,喉4欖2,喉結,頦勒嗉,
3429,喉,形容詞,hau kam,喉44,吃東西狼吞虎咽,,
3430,喉鉗,工具、材料,hau kim,喉4鉗4*2,管鉗子,,
3431,喉嚨,人體,hau lung,喉4嚨4,(不是粵方言詞),,(不是粵方言詞)
3432,喉急,形容詞,hau gap,喉4急7,心急,,窘迫而發急
3433,喉核,人體,hau wat,喉4核9*2,喉結,,
3434,喉轆,其他,hau luk,喉4轆7,消防水龍,,
3435,猴,動詞,hau,猴4,垂涎,覬覦,
3436,口花花,形容詞,hau faa faa,口2花1花1,言語輕佻,愛說俏皮話,
3437,口椏角,人體,hau aa gok,口2椏1角8,嘴角,,"也作""""口丫角"""""
3438,口啞,其他,hau aa,口2啞2,回答不出,啞口無言,
3439,口多多,形容詞,hau do do,口2多1多1,多嘴多舌,話多,
3440,口疏,形容詞,hau so,口2疏1,嘴快,好傳話,心裏留不住話
3441,口果,飲食,hau gwo,口2果2,(作為零食的)涼果,,
3442,口齒,其他,hau ci,口2齒2,信用,承諾,"普通話中""""口齒""""指說話時的發音/說話的本領。"
3443,口唔對心,形容詞,hau m` deoi sam,口2唔4對3心1,口是心非,,
3444,口乖,形容詞,hau gwaai,口2乖1,嘴甜,嘴乖,會哄得人歡喜
3445,口氣,其他,hau hei,口2氣3,(不是粵方言詞),,非粵方言詞。
3446,口在路邊,其他,hau zoi lou bin,口2在6路6邊1,逢人問路,鼻子底下有嘴(俗),
3447,口臭,形容詞,hau cau,口2臭3,說話不對頭,,愛說別人不愛聽的話或不吉利的話。
3448,口數,文化、娛樂,hau sou,口2數3,口算,心算,
3449,口水多過茶,形容詞,hau seoi do gwo caa,口2水2多1過3茶4,(形容)大耍嘴皮子,話多,
3450,口水尾,人體,hau seoi mei,口2水2尾5*1,唾沫星子,,"也作""""口水"""""
3451,口甜舌滑,形容詞,hau tim sit waat,口2甜4舌8滑9,嘴甜,會哄人,
3452,口痕,形容詞,hau han,口2痕4,嘴癢,雜嘴子,"喻人愛多嘴,忍不住想說。"
3453,口痕友,稱謂,hau han jau,口2痕4友5*2,(沒有對應詞彙),,"喜歡胡說的人,愛取笑別人的人"
3454,口唇,人體,hau seon,口2唇4,嘴唇,,
3455,口面,稱謂,hau min,口2面6,面容,面貌,面孔的外貌。
3456,口軟軟,形容詞,hau jyun jyun,口2軟5軟5,口氣軟,不敢強硬,
3457,口硬,形容詞,hau ngaang,口2硬6,口氣強硬,嘴硬,
3458,口輕,形容詞,hau heng,口2輕1,輕諾,說了話不算,"普通話中""""口輕""""指菜或湯不鹹/愛吃淡一些的味道。"
3459,口響,形容詞,hau hoeng,口2響2,誇誇其談,自誇,"光說不做,口若懸河《廣》210"
3460,口爽,形容詞,hau song,口2爽2,順口,,
3461,口同鼻詏,其他,hau tung bei aau,口2同4鼻6詏3,(喻)無必要的較勁,(喻)無謂的頂牛,
3462,口盅,家具、日常用品,hau zung,口2盅1,漱口杯,,
3463,口,飲食,hau laap sap,口569,零食,小食品,"同""""口立濕"""""
3464,口,形容詞,hau nap,口26,不善言辭,講得不清楚,
3465,口密,形容詞,hau mat,口2密9,嘴嚴,不愛說話,"1.嘴嚴,不愛傳播言語。2.不愛說話,形容性格內向"
3466,口,形容詞,hau zat zat,口266,欲言又止,啞口無言,
3467,口吃,其他,hau ged,口2吃9,結巴,,"說話滯澀,不能一直說下去。非粵語方言詞。"
3468,口拙,形容詞,hau zyut,口2拙8,不善言辭,無口才,
3469,口擘擘,形容詞,hau maak maak,口2擘8擘8,氣喘,氣喘吁吁,口擘擘---張口喘氣貌。
3470,口角,動詞,hau gok,口2角8,(不是粵方言詞),,非粵方言詞
3471,厚身,形容詞,hau san,厚5身1,厚實,厚,
3472,厚沓沓,形容詞,hau dap dap,厚5沓9沓9,(沒有對應詞彙),,物很厚貌
3473,候鑊,稱謂,hau wok,候6鑊9*2,廚師,廚子,
3474,後底,稱謂,hau dai naa,後6底22,後娘,後母,
3475,後底婆,稱謂,hau dai po,後6底2婆4*2,後妻,填房,
3476,後尾,副詞,hau mei,後6(6*1)尾5(5*1),後來,後尾兒,後來(時間上)
3477,後尾,人體,hau mei zam,後6尾52,後腦勺兒,,
3478,後手,代詞,hau sau,後6手2,子孫後代,,
3479,後土,其他,hau tou,後6土2,(沒有對應詞彙),,"墳圈的背後設一石頭牌位,叫""""後土之神"""""
3480,後厚,形容詞,hau zam hau,後62厚5,(指)有福氣,(指)有家底,
3481,後薄,形容詞,hau zam bok,後62薄9,(指)沒福氣,福薄,
3482,後便,介詞,hau bin,後6便6,後頭,後面,
3483,後生,形容詞,hau saang,後6生1,跟班,年輕,後生--大戶人家的跟班
3484,後生仔女,稱謂,hau saang zai neoi,後6生1仔2女5*2,青年男女,,後生仔女--年輕人的統稱
3485,後生細仔,稱謂,hau saang sai zai,後6生1細3仔2,小青年,年紀輕輕,
3486,後生女,稱謂,hau saang neoi,後6生1女5*2,少女,青年女子,
3487,後日,時間、節令,hau jat,後6日9,後天,,
3488,後腳,人體,hau goek,後6腳8,(動物的)後足,後腳兒,"詞義與普通話相同(與""""前腳""""連說時,表示在別人後面)"
3489,鱟魚,動物,hau jyu,鱟6魚4*2,海鱟,,
3490,甌,家具、日常用品,au,甌1,小木碗,,
3491,嘔,動詞,au,嘔2,嘔吐,,
3492,嘔浪,動詞,au long,嘔2浪6,暈船,,
3493,漚,動詞,au,漚3,(不是粵方言詞),,用水浸來製作
3494,漚霉,動詞,au mui,漚3霉4,(不是粵方言詞),,
3495,漚麵豉,動詞,au min si,漚3麵6豉6*2,(不是粵方言詞),,
3496,漚年,時間、節令,au nin,漚3年4,(不是粵方言詞),,
3497,漚冬,時間、節令,au dung,漚3冬1,(不是粵方言詞),,
3498,熰,動詞,au,熰3,焞,,"「熰」,以極微火久煮"
3499,熰火,其他,au fo,熰3火2,(沒有對應詞彙),,"以微火煮,食物半熟不熟 / 水半開不開的"
3500,悠悠閑閑,形容詞,jau jau haan haan,悠1悠1閑4閑4,悠然,不慌不忙,
3501,悠游,形容詞,jau jau,悠1游4,(不是粵方言詞),,
3502,摳,動詞,jau,摳1,(不是粵方言詞),,往上提褲子或鞋
3503,憂,動詞,jau,憂1,(不是粵方言詞),,
3504,由得佢,其他,jau dak keoi,由4得7佢5,隨他去,算了吧,
3505,油,飲食,jau,油4,食用油,,詞義與普通話相同
3506,油,工具、材料,jau,油4*2,潤滑油,工業用油,詞義與普通話相同
3507,油渣車,商業、交通,jau zaa ce,油4渣1車1,柴油機車,,
3508,油渣,商業、交通,jau zaa,油4渣1,油渣兒(口),,煉豬油剩下的渣
3509,油炸鬼,飲食,jau zaa gwai,油4炸3鬼2,(不是粵方言詞),,非粵方言詞
3510,油榨,商業、交通,jau zaa,油4榨3,(沒有對應詞彙),,舊時的榨油作坊
3511,油紙遮,家具、日常用品,jau zi ze,油4紙2遮1,油紙傘,,
3512,油,飲食,jau fu,油41,油渣,油餅,總稱榨油剩下來的餅狀渣。
3513,油器,飲食,jau hei,油4器3,(沒有對應詞彙),,1.油炸食品的總稱。2.油炸米麵製品的總稱
3514,油漏,家具、日常用品,jau lau,油4漏6*2,(沒有對應詞彙),,灌油用的漏斗
3515,油布衫,家具、日常用品,jau pou saam,油4布3衫1,(沒有對應詞彙),,一種舊式雨衣
3516,油鋪,商業、交通,jau pou,油4鋪3*2,(沒有對應詞彙),,舊時賣油鹽雜貨的店鋪
3517,油潞,家具、日常用品,jau lou,油4潞6*2,油提子,,"也說""""油勺兒"""""
3518,油,飲食,jau deoi,油41,(沒有對應詞彙),,糯米粉製的油炸食品
3519,油嘴,形容詞,jau zeoi,油4嘴2,嘴饞,,形容人專要吃好東西。
3520,油水,其他,jau seoi,油4水2,(不是粵方言詞),,非粵方言詞
3521,油淰淰,形容詞,jau nam nam,油4淰6淰6,油汪汪的,,"「油淰淰」,浸透油貌"
3522,油占米,植物、糧菜、果品,jau zim mai,油4占1米5,(沒有對應詞彙),,一種上好白米
3523,油潤,形容詞,jau jeon,油4潤6,有光澤,滑潤,
3524,油瓶仔,稱謂,jau ping zai,油4瓶5仔2,帶犢兒(俗),,1.被母親帶著改嫁的孩子。2.隨母出嫁的孩子點(帶歧視的說法)
3525,油香餅,飲食,jau hoeng beng,油4香1餅2,(沒有對應詞彙),,一種油炸食品
3526,油盪口,形容詞,jau long hau,油4盪2口2,油嘴滑舌,,(形容)油嘴滑舌
3527,油光帽,服飾,jau gwong mou,油4光1帽6*2,(沒有對應詞彙),,塗過桐油的竹帽
3528,油,形容詞,jau nap,油46,油污,髒貌,
3529,油,動物,jau gaat zaat,油499*2,(沒有對應詞彙),,一種蟑螂
3530,油麥菜,植物、糧菜、果品,jau mak coi,油4麥9菜3,野菜,,"「油麥菜」,苦麥菜的一種"
3531,油,其他,jau zik,油47,油污點,油漬,
3532,油,形容詞,jau jik,油41,哈喇(口),哈喇味兒,油類及有油的食物變質的壞味。
3533,油勺,家具、日常用品,jau zoek,油4勺3,(不是粵方言詞),,量油的用具。非粵方言詞。
3534,油角,飲食,jau gok,油4角8*2,(沒有對應詞彙),,1.油炸的甜餡小餃子。2.年宵食物之一
3535,柔喉,人體,jau hau,柔4喉4,(沒有對應詞彙),,溫柔、不慌不忙、慢條斯理的語音
3536,郵差,稱謂,jau caai,郵4差1,(不是粵方言詞),,(不是粵方言詞)
3537,郵政局,商業、交通,jau zing guk,郵4政3局9*2,(不是粵方言詞),,(不是粵方言詞)
3538,游車河,動詞,jau ce ho,游4車1河4*2,乘車兜風,,"坐汽車兜風,四處游覽"
3539,游河,動詞,jau ho,游4河4*2,游玩,,
3540,游埠,動詞,jau fau,游4埠6,(沒有對應詞彙),,舊時指游歷、到處游逛
3541,游游閑,形容詞,jau jau haan,游4游4閑4,游手好閑,,
3542,游學,動詞,jau hok,游4學9,(不是粵方言詞),,舊時指到國外留學
3543,游水,動詞,jau seoi,游4水2,(不是粵方言詞),,(不是粵方言詞)
3544,魷魚,動物,jau jyu,魷4魚4,一種海魚,槍烏賊,
3545,有把炮,其他,jau baa paau,有5把2炮3,有把握,有能力,
3546,有挐□,其他,jau naa nang,有5挐1□3,有瓜葛,有牽連,
3547,有拿,其他,jau zaa naa,有51拿4,有把握,十拿九穩,
3548,有手,其他,jau zaa sau,有51手2,有東西做抵押,,
3549,有野,形容詞,jau je,有5野5,(特指)有本事,了不起,
3550,有多,其他,jau do,有5多1,有富餘,有剩餘,
3551,有,動詞,jau zo,有52,有了,懷孕了,(婉辭)指有孕
3552,有肚,動詞,jau zo tou,有52肚5,懷孕,有孕,
3553,有所謂,副詞,jau so wai,有5所2謂6,決心去做某事,,
3554,有衣食,動詞,jau ji sik,有5衣1食9,命運好,生活好,
3555,有符法,動詞,jau fu fit,有5符4法7,(喻)有計謀,(喻)策略,
3556,有古怪,動詞,jau gu gwaai,有5古2怪3,有情況,(事情)可能有變化,
3557,有大山挨,動詞,jau daai saan aai,有5大6山1挨1,有所恃,有靠山,
3558,有挨有,動詞,jau ngaai jau bang,有5挨1有56,有靠山,有後臺,
3559,"有雞仔唔管,管麻鷹",其他,"jau gai zai m` gun, gun maa jing","有5雞1仔2唔4管2,管2麻4鷹1","該管的不管,不該管的倒去管",,
3560,有鬼,其他,jau gwai,有5鬼2,有個鬼,有個屁(俗),"有鬼--意即""""沒有"""""
3561,有理冇理,副詞,jau lei mou lei,有5理5冇5理5,不管它,,
3562,有幾何,副詞,jau gei ho,有5幾2何4*2,能有幾回,不是經常的,
3563,有幾手野,其他,jau gei sau je,有5幾2手2野5,有點本事,有點技能,
3564,有喜,動詞,jau hei,有5喜2,(不是粵方言詞),,有孕(較斯文的說法)。非粵方言詞。
3565,有氣冇碇,其他,jau hei mou deng tau,有5氣3冇5碇6敁2,有氣沒地方發泄,,"「有氣冇碇」,指非常生氣"
3566,有氣冇力,形容詞,jau hei mou lik,有5氣3冇5力9,有氣無力,,"身體軟弱,無精神"
3567,有交易,動詞,jau gaau jik,有5交1易6,有交道可打,可與之打交道,
3568,有頭有主,其他,jau tau jau zyu,有5頭4有5主2,有主人,有主兒,
3569,有頭有尾,其他,jau tau jau mei,有5頭4有5尾5,有始有終,,
3570,有頭冇尾,其他,jau tau mou mei,有5頭4冇5尾5,有始無終,虎頭蛇尾,
3571,有仇口,動詞,jau sau hau,有5仇4口2,舊時指有仇,,
3572,有口齒,形容詞,jau hau ci,有5口2齒2,有信用,不食言,
3573,有補,其他,jau bou,有5補2,(沒有對應詞彙),,"很有營養,能補身體"
3574,有寶,形容詞,jau bou,有5寶2,了不起,有本領,
3575,有冇,副詞,jau mou,有5冇5,有沒有,,
3576,有路數,其他,jau lou sou,有5路6數3,(不是粵方言詞),,非粵方言詞
3577,有料,形容詞,jau liu,有5料6*2,有學問,有才幹,
3578,有料到,形容詞,jau liu dou,有5料6*2到3,有內容,有進展,
3579,有朝冇晚,時間、節令,jau ziu mou maan,有5朝1冇5晚5,晝短夜長,,"白天短夜長,時間過得快"
3580,有腰骨,其他,jau jiu gwat,有5腰1骨7,(沒有對應詞彙),,"可以信得過,受人之托,很負責任"
3581,有心,副詞,jau sam,有5心1,謝謝,,(客套話)
3582,有彈有讚,其他,jau taan jau zaam,有5彈4有5讚3,有貶有褒,,
3583,有紋路,其他,jau man lou,有5紋4路6,有條理,有分寸,
3584,有分數,其他,jau fan sou,有5分1數3,心中有數,胸有成竹,
3585,有份,其他,jau fan,有5份6*2,有自己一份,,
3586,有陣時,副詞,jau zan si,有5陣6時4,有時候,,
3587,有身己,其他,jau san gei,有5身1己2,懷孕,有孕,
3588,有神冇氣,形容詞,jau san mou hei,有5神4冇5氣3,有氣無力,無精打采,
3589,有根,其他,jau gan koeng,有5根15*2,有來歷,有根據,
3590,有癮,其他,jau jan,有5癮5,(對某事)有興趣,上癮,詞義與普通話相同
3591,有肝膽,形容詞,jau gon daam,有5肝1膽2,披肝瀝膽,,"對人真誠,能盡力助人。"
3592,有面,形容詞,jau min,有5面6*2,有地位、名望,有臉面,
3593,有聲氣,動詞,jau seng hei,有5聲1氣3,有消息,有門兒,"同""""有行"""""
3594,有頸冇碇吊,其他,jau geng mou deng diu,有5頸2冇5碇6吊3,(沒有對應詞彙),,形容困苦已極而求死不得
3595,有定,副詞,jau ding,有5定6*2,當然有,肯定有,
3596,有剩,其他,jau zing,有5剩6,有剩餘,,
3597,有傾有講,動詞,jau king jau gong,有5傾1有5講2,有說有笑,,
3598,有型有款,形容詞,jau jing jau fun,有5型4有5款2,款式很好,,
3599,有兩手,其他,jau loeng sau,有5兩5手2,有兩下子,有本事,
3600,有兩度,其他,jau loeng dou,有5兩5度9,有本領,有辦法,
3601,有腸肚,其他,jau coeng tou,有5腸4肚5,有心計,有頭腦,
3602,有相睇,其他,jau soeng tai,有5相3睇2,由貌看出,,
3603,有樣學樣,動詞,jau joeng hok joeng,有5樣6*2學9樣6*2,照樣兒學,見誰學誰,學別人的樣子來做
3604,有行,其他,jau hong,有5行4,有聲氣,有門兒,
3605,有風駛盡,其他,jau fung sai zeon lei,有5風1駛2盡65,(沒有對應詞彙),,"(喻)盡量利用好條件,全力以赴"
3606,有辣有唔辣,其他,jau laat jau m` laat,有5辣9有5唔4辣9,(沒有對應詞彙),,比喻有利有弊或另有含義
3607,有殺冇賠,其他,jau saat mou pui,有5殺8冇5賠4,喻不容侵犯,,
3608,有凸,其他,jau dat,有5凸9,有富餘,有剩餘,
3609,有一牌,其他,jau jat paai,有5一7牌4,得相當長的時間,,"也作""""有一排"""""
3610,有骨,形容詞,jau gwat,有5骨7,帶刺兒,,
3611,有術,形容詞,jau seot,有5術9,有辦法,,
3612,有得,其他,jau dak maan,有5得71,有挽回的可能,,
3613,有數,動詞,jau zoek sou,有59數3,有便宜可佔,,
3614,有落,動詞,jau zoek lok,有59落9,(不是粵方言詞),,非粵方言詞
3615,幼稚園,文化、娛樂,jau zi jyun,幼3稚6園4*2,(不是粵方言詞),,非粵方言詞
3616,幼糠,植物、糧菜、果品,jau hong,幼3糠1,細米糠,,
3617,幼滑,形容詞,jau waat,幼3滑6,又細又嫩,細膩,
3618,又話,其他,jau waa,又6話6,不是說嗎,,用於反問句
